close,high,low,open,timestamp,volume
43098,43119,43070,43119,1703744880,4.85216204
43077,43087,43051,43087,1703744940,4.84274239
43046,43084,43046,43084,1703745000,0.05318234
43043,43047,43010,43046,1703745060,5.66321536
43106,43106,43085,43085,1703745120,0.09416378
43106,43116,43106,43116,1703745180,0.02797000
43117,43120,43098,43098,1703745240,0.65376173
43091,43094,43091,43094,1703745300,0.04475385
43121,43126,43095,43095,1703745360,0.01802699
43121,43121,43121,43121,1703745420,0.00000000
43139,43139,43139,43139,1703745480,0.05768288
43122,43123,43110,43116,1703745540,0.87253219
43120,43132,43120,43132,1703745600,0.00653683
43117,43126,43117,43126,1703745660,0.12659700
43116,43129,43116,43125,1703745720,0.01037000
43094,43094,43094,43094,1703745780,0.00091000
43094,43094,43094,43094,1703745840,0.00000000
43094,43094,43094,43094,1703745900,0.00000000
43092,43092,43092,43092,1703745960,0.00156000
43098,43098,43090,43090,1703746020,0.00702000
43098,43098,43098,43098,1703746080,0.00832000
43139,43139,43126,43138,1703746140,0.31876343
43158,43158,43136,43138,1703746200,3.12836969
43133,43133,43133,43133,1703746260,0.00537000
43095,43120,43095,43120,1703746320,0.04584584
43071,43071,43062,43062,1703746380,0.00296000
43071,43071,43071,43071,1703746440,0.00000000
43010,43026,43010,43026,1703746500,0.07860606
43047,43047,43047,43047,1703746560,0.06000000
43091,43091,43091,43091,1703746620,0.00307337
43056,43068,43056,43068,1703746680,0.00566000
43052,43056,43049,43056,1703746740,0.01842000
43042,43080,43042,43080,1703746800,0.01391000
43080,43080,43072,43072,1703746860,0.05184163
43015,43015,43015,43015,1703746920,0.00212000
43068,43068,43015,43015,1703746980,0.23773436
43034,43034,43034,43034,1703747040,0.00498000
43011,43026,43000,43024,1703747100,7.29626678
42996,42998,42984,42998,1703747160,2.01321975
43056,43056,43031,43031,1703747220,0.30181062
43073,43079,43053,43053,1703747280,2.70765000
43057,43072,43049,43071,1703747340,2.78830674
43039,43057,43021,43056,1703747400,0.77195194
43071,43071,43025,43025,1703747460,0.11806000
43023,43064,43016,43064,1703747520,0.87986759
43008,43008,42997,43005,1703747580,0.03149000
43000,43010,43000,43006,1703747640,0.36145454
42958,43025,42958,43000,1703747700,4.47689221
43036,43036,42943,42953,1703747760,1.85330570
43037,43037,43037,43037,1703747820,0.10000000
43070,43072,43070,43071,1703747880,0.02775268
43076,43076,43062,43065,1703747940,0.20844000
43065,43068,43052,43065,1703748000,0.15814229
43034,43056,43033,43056,1703748060,0.17062053
43040,43046,43031,43031,1703748120,0.21955980
42979,42984,42979,42984,1703748180,0.02018998
42970,42970,42970,42970,1703748240,0.00181000
42955,42994,42955,42975,1703748300,0.28235844
42963,42974,42955,42955,1703748360,0.25598000
42946,42946,42945,42945,1703748420,0.10000000
42899,42963,42846,42950,1703748480,21.48786647
42874,42920,42835,42898,1703748540,3.85683663
42906,42906,42873,42873,1703748600,0.42279778
42862,42904,42861,42904,1703748660,1.28706950
42906,42909,42867,42908,1703748720,0.20334053
42893,42897,42875,42890,1703748780,0.03813778
42900,42900,42868,42868,1703748840,0.07954959
42919,42919,42871,42871,1703748900,3.33772850
42916,42938,42904,42937,1703748960,0.82929326
42928,42930,42928,42930,1703749020,0.02259685
42941,42958,42933,42934,1703749080,0.29672670
42943,42944,42926,42926,1703749140,0.07192305
42945,42948,42937,42937,1703749200,0.13510223
42936,42950,42936,42941,1703749260,0.03465000
42929,42938,42915,42932,1703749320,1.17019188
42929,42929,42929,42929,1703749380,0.00000000
42958,42963,42956,42956,1703749440,0.04569067
42962,42962,42962,42962,1703749500,0.00095621
42974,42974,42955,42956,1703749560,0.09146222
42986,42996,42979,42979,1703749620,0.67321517
43024,43024,42998,42998,1703749680,0.05844729
43026,43036,43025,43025,1703749740,0.06594912
43010,43016,43010,43015,1703749800,0.07533786
43040,43044,42984,42998,1703749860,0.57993508
43061,43061,43051,43051,1703749920,0.02726692
43051,43051,43048,43048,1703749980,0.00411963
43033,43044,43033,43044,1703750040,0.00289000
43032,43035,43032,43035,1703750100,0.01185752
43054,43055,43050,43055,1703750160,0.03084000
43054,43054,43054,43054,1703750220,0.00000000
43059,43059,43058,43058,1703750280,0.07469000
43065,43068,43065,43067,1703750340,0.01595333
43055,43066,43055,43066,1703750400,0.01135798
43067,43072,43066,43071,1703750460,0.02537385
43066,43082,43066,43072,1703750520,0.00857667
43047,43062,43047,43062,1703750580,0.00194000
43045,43052,43045,43052,1703750640,0.00109700
43023,43035,43023,43035,1703750700,2.00219848
43010,43022,43010,43022,1703750760,2.30349870
43006,43018,43006,43018,1703750820,0.02440323
43005,43006,42987,43006,1703750880,0.03408010
42995,42999,42994,42999,1703750940,0.05539000
43019,43019,42994,42994,1703751000,0.04201000
43041,43041,43018,43018,1703751060,0.13690231
43047,43047,43042,43042,1703751120,0.00226346
43047,43047,43047,43047,1703751180,0.00000000
43082,43082,43080,43080,1703751240,0.02893734
43082,43082,43082,43082,1703751300,0.00000000
43067,43075,43067,43075,1703751360,0.00313618
43070,43070,43058,43058,1703751420,0.12911244
43048,43058,43034,43058,1703751480,0.07135000
43057,43057,43042,43042,1703751540,0.08147000
43030,43059,43030,43059,1703751600,0.01281929
43028,43028,43028,43028,1703751660,0.16842606
43021,43026,43021,43026,1703751720,0.00397481
43050,43050,43050,43050,1703751780,0.01235000
43041,43041,43041,43041,1703751840,0.00028020
43048,43048,43039,43039,1703751900,0.03702612
43058,43058,43049,43049,1703751960,0.28907000
43012,43012,43012,43012,1703752020,0.00648000
43000,43000,42999,42999,1703752080,0.02113527
43013,43013,43013,43013,1703752140,0.00664000
42994,43000,42994,43000,1703752200,0.01355977
42996,42996,42996,42996,1703752260,0.04400000
43005,43005,43005,43005,1703752320,0.01121764
43005,43005,42996,42996,1703752380,2.07274332
43052,43052,43036,43036,1703752440,0.30465364
43060,43063,43060,43063,1703752500,0.00309537
43041,43043,43039,43043,1703752560,0.51979105
43037,43037,43037,43037,1703752620,0.07300000
43052,43052,43044,43044,1703752680,0.20112000
43046,43047,43040,43041,1703752740,0.03756465
43040,43040,43040,43040,1703752800,0.01384186
43017,43018,43017,43018,1703752860,0.00872000
43022,43022,43022,43022,1703752920,0.00641000
43026,43026,43014,43016,1703752980,0.03452224
43033,43033,43023,43023,1703753040,0.05250006
43050,43050,43050,43050,1703753100,0.42524457
43076,43076,43076,43076,1703753160,0.01518765
43037,43064,43037,43064,1703753220,1.36324707
43021,43042,43018,43042,1703753280,0.03038727
43045,43045,43018,43019,1703753340,0.04176536
43058,43059,43045,43045,1703753400,0.01404417
43036,43043,43036,43041,1703753460,0.45147280
43019,43024,43019,43024,1703753520,0.01356707
43004,43019,43003,43019,1703753580,0.03230171
43023,43023,43010,43012,1703753640,0.00348818
42975,43021,42975,43021,1703753700,0.04152034
42975,42975,42975,42975,1703753760,0.00000000
42967,42967,42967,42967,1703753820,0.05000000
42968,42968,42962,42962,1703753880,0.02217000
42955,42955,42955,42955,1703753940,0.03166504
42937,42940,42937,42940,1703754000,0.01080000
42937,42937,42937,42937,1703754060,0.00620000
